0x0061,26,-32,	0x00e0,23,-32,	0x00f8,7,-32,	0x00ff,1,121,	0x0101,1,-1,	0x0103,1,-1,	0x0105,1,-1,	0x0107,1,-1,	
0x0491,1,-1,	0x0493,1,-1,	0x0495,1,-1,	0x0497,1,-1,	0x0499,1,-1,	0x049b,1,-1,	0x049d,1,-1,	0x049f,1,-1,	
0x04a1,1,-1,	0x04a3,1,-1,	0x04a5,1,-1,	0x04a7,1,-1,	0x04a9,1,-1,	0x04ab,1,-1,	0x04ad,1,-1,	0x04af,1,-1,	
0x04b1,1,-1,	0x04b3,1,-1,	0x04b5,1,-1,	0x04b7,1,-1,	0x04b9,1,-1,	0x04bb,1,-1,	0x04bd,1,-1,	0x04bf,1,-1,	
0x04c2,1,-1,	0x04c4,1,-1,	0x04c8,1,-1,	0x04cc,1,-1,	0x04d1,1,-1,	0x04d3,1,-1,	0x04d5,1,-1,	0x04d7,1,-1,	
0x04d9,1,-1,	0x04db,1,-1,	0x04dd,1,-1,	0x04df,1,-1,	0x04e1,1,-1,	0x04e3,1,-1,	0x04e5,1,-1,	0x04e7,1,-1,	
0x04e9,1,-1,	0x04eb,1,-1,	0x04ef,1,-1,	0x04f1,1,-1,	0x04f3,1,-1,	0x04f5,1,-1,	0x04f9,1,-1,	0x0561,38,-48,	
0x10d0,38,-48,	0x1e01,1,-1,	0x1e03,1,-1,	0x1e05,1,-1,	0x1e07,1,-1,	0x1e09,1,-1,	0x1e0b,1,-1,	0x1e0d,1,-1,	
0x1e0f,1,-1,	0x1e11,1,-1,	0x1e13,1,-1,	0x1e15,1,-1,	0x1e17,1,-1,	0x1e19,1,-1,	0x1e1b,1,-1,	0x1e1d,1,-1,	
0x1e1f,1,-1,	0x1e21,1,-1,	0x1e23,1,-1,	0x1e25,1,-1,	0x1e27,1,-1,	0x1e29,1,-1,	0x1e2b,1,-1,	0x1e2d,1,-1,	
0x1e2f,1,-1,	0x1e31,1,-1,	0x1e33,1,-1,	0x1e35,1,-1,	0x1e37,1,-1,	0x1e39,1,-1,	0x1e3b,1,-1,	0x1e3d,1,-1,	
0x1e3f,1,-1,	0x1e41,1,-1,	0x1e43,1,-1,	0x1e45,1,-1,	0x1e47,1,-1,	0x1e49,1,-1,	0x1e4b,1,-1,	0x1e4d,1,-1,	
0x1e4f,1,-1,	0x1e51,1,-1,	0x1e53,1,-1,	0x1e55,1,-1,	0x1e57,1,-1,	0x1e59,1,-1,	0x1e5b,1,-1,	0x1e5d,1,-1,	
0x1e5f,1,-1,	0x1e61,1,-1,	0x1e63,1,-1,	0x1e65,1,-1,	0x1e67,1,-1,	0x1e69,1,-1,	0x1e6b,1,-1,	0x1e6d,1,-1,	
0x1e6f,1,-1,	0x1e71,1,-1,	0x1e73,1,-1,	0x1e75,1,-1,	0x1e77,1,-1,	0x1e79,1,-1,	0x1e7b,1,-1,	0x1e7d,1,-1,	
0x1e7f,1,-1,	0x1e81,1,-1,	0x1e83,1,-1,	0x1e85,1,-1,	0x1e87,1,-1,	0x1e89,1,-1,	0x1e8b,1,-1,	0x1e8d,1,-1,	
0x1e8f,1,-1,	0x1e91,1,-1,	0x1e93,1,-1,	0x1e95,1,-1,	0x1ea1,1,-1,	0x1ea3,1,-1,	0x1ea5,1,-1,	0x1ea7,1,-1,	
0x1ea9,1,-1,	0x1eab,1,-1,	0x1ead,1,-1,	0x1eaf,1,-1,	0x1eb1,1,-1,	0x1eb3,1,-1,	0x1eb5,1,-1,	0x1eb7,1,-1,	
0x1eb9,1,-1,	0x1ebb,1,-1,	0x1ebd,1,-1,	0x1ebf,1,-1,	0x1ec1,1,-1,	0x1ec3,1,-1,	0x1ec5,1,-1,	0x1ec7,1,-1,	
0x1ec9,1,-1,	0x1ecb,1,-1,	0x1ecd,1,-1,	0x1ecf,1,-1,	0x1ed1,1,-1,	0x1ed3,1,-1,	0x1ed5,1,-1,	0x1ed7,1,-1,	
0x1ed9,1,-1,	0x1edb,1,-1,	0x1edd,1,-1,	0x1edf,1,-1,	0x1ee1,1,-1,	0x1ee3,1,-1,	0x1ee5,1,-1,	0x1ee7,1,-1,	
0x1ee9,1,-1,	0x1eeb,1,-1,	0x1eed,1,-1,	0x1eef,1,-1,	0x1ef1,1,-1,	0x1ef3,1,-1,	0x1ef5,1,-1,	0x1ef7,1,-1,	
0x1ef9,1,-1,	0x1f00,8,8,	0x1f10,6,8,	0x1f20,8,8,	0x1f30,8,8,	0x1f40,6,8,	0x1f51,1,8,	0x1f53,1,8,	
0x1f55,1,8,	0x1f57,1,8,	0x1f60,8,8,	0x1f80,8,8,	0x1f90,8,8,	0x1fa0,8,8,	0x1fb0,2,8,	0x1fd0,2,8,	
0x1fe0,2,8,	0x24d0,26,-26,	0xff41,26,-32,	Map: 666
Ranges u2l: 354
Ranges l2u: 355
Done
